name;longName;standardName;absolute;minPossibleValue;maxPossibleValue
chl;Chlorophyll;mole_concentration_of_chlorophyll_in_sea_water;TRUE;0;Inf
clt;TotalCloudFraction;cloud_area_fraction;TRUE;0;1
dfe;DissolvedIron;mole_concentration_of_dissolved_iron_in_sea_water;TRUE;0;Inf
fe;DissolvedIron;mole_concentration_of_dissolved_iron_in_sea_water;TRUE;0;Inf
hurs;AirHumidity;relative_humidity;TRUE;0;Inf
PP;TotalPrimaryProductionPhyto;primary_productivity_of_biomass_expressed_as_carbon;TRUE;0;Inf
intpp;TotalPrimaryProductionPhyto;net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_phytoplankton;TRUE;0;Inf
nppv;TotalPrimaryProductionPhyto;net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_phytoplankton;TRUE;0;Inf
pp;TotalPrimaryProductionPhyto;net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_phytoplankton;TRUE;0;Inf
KD490_mean;DiffuseAttenuationCoefficient;volume_beam_attenuation_coefficient_of_radiative_flux_in_sea_water;TRUE;0;Inf
KDPAR_mean;DiffuseAttenuationCoefficientPAR;volume_beam_attenuation_coefficient_of_radiative_flux_in_sea_water;TRUE;0;Inf
mlp;MixedLayerDepth;ocean_mixed_layer_thickness;TRUE;0;Inf
mlotst;MixedLayerDepth;ocean_mixed_layer_thickness;TRUE;0;Inf
no3;Nitrate;mole_concentration_of_nitrate_in_sea_water;TRUE;0;Inf
o2;DissolvedMolecularOxygen;mole_concentration_of_dissolved_molecular_oxygen_in_sea_water;TRUE;0;Inf
PAR_mean;PhotosyntheticallyAvailableRadiation;surface_downwelling_photosynthetic_radiance_in_sea_water;TRUE;0;Inf
ph;pH;sea_water_ph_reported_on_total_scale;TRUE;7;Inf
phyc;TotalPhytoplankton;mole_concentration_of_phytoplankton_expressed_as_carbon_in_sea_water;TRUE;0;Inf
po4;Phosphate;mole_concentration_of_phosphate_in_sea_water;TRUE;0;Inf
pon;Organic matter (phosphorus);mole_concentration_of_particulate_organic_matter_expressed_as_phosphorus_in_sea_water;TRUE;0;Inf
pr;Precipitation;total_precipitation;TRUE;0;Inf
si;Silicate;mole_concentration_of_silicate_in_sea_water;TRUE;0;Inf
sicov;SeaIceCover;sea_ice_area_fraction;TRUE;0;1
siconc;SeaIceCover;sea_ice_area_fraction;TRUE;0;1
sic;SeaIceCover;sea_ice_area_fraction;TRUE;0;1
sit;SeaIceThickness;sea_ice_thickness;TRUE;0;Inf
sithick;SeaIceThickness;sea_ice_thickness;TRUE;0;Inf
so;Salinity;sea_water_salinity;TRUE;0;Inf
ssh;SeaSurfaceHeight;sea_surface_height_above_mean_sea_level;TRUE;0;Inf
zos;SeaSurfaceHeight;sea_surface_height_above_mean_sea_level;TRUE;0;Inf
SWH;SignificantWaveHeight;sea_surface_wave_significant_height;TRUE;0;Inf
tamp;TidalAmplitude;sea_surface_height_amplitude_due_to_earth_tide;TRUE;0;Inf
tas;AirTemperature;air_temperature;FALSE;-90;Inf
thetao;OceanTemperature;sea_water_temperature;FALSE;-2;Inf
tos;OceanTemperature;sea_water_temperature;FALSE;-2;Inf
parbottom;LightAtBottom;sea_bottom_light;TRUE;0;Inf
exposureW;CoastalExposureW;costal_exposure_w;TRUE;0;Inf
exposureWX;CoastalExposureWX;costal_exposure_wx;TRUE;0;Inf
uo;SeaWaterVelocityX;eastward_sea_water_velocity;FALSE;-Inf;Inf
vo;SeaWaterVelocityY;northward_sea_water_velocity;FALSE;-Inf;Inf
sws;SeaWaterSpeed;sea_water_speed;FALSE;0;Inf
swd;SeaWaterDirection;sea_water_direction;FALSE;0;Inf
u10;WindVelocityX;10_metre_U_wind_component;FALSE;-Inf;Inf
v10;WindVelocityY;10_metre_V_wind_component;FALSE;-Inf;Inf
ws;WindSpeed;10_metre_wind_speed;FALSE;0;Inf
wd;WindDirection;10_metre_wind_direction;FALSE;0;Inf